they're just closer to home .	他們只靠近家 。
that's all i try to do .	這就是我想要做的 。
we really should clean that up .	我們真的應該乾淨 。
of course , they have a carport .	當然 , 他們有一輛車場 。
they are human beings just like us .	他們是人類和我們一樣 。
and i say , " yeah . "	我說: 「 是啊 。 」
you have to fight against violence .	你必須對抗暴力 。
tim mcgraw .	mcgraw 。
you google , right ? of course .	你google , 對吧 ? 當然 。
yet , i had never heard of him .	然而 , 我從未聽過他 。
the last image we don't have .	最後一張圖像沒有 。
you don't see the surface structure .	你看不到表面結構 。
it's about who you live with .	重點是你住在誰 。
it's just been absolutely great .	這真是太棒了 。
and i started a new life yet again .	我再次開始新生命 。
can it bring down walls ? yes .	可以把牆嗎 ? 是的 。
there are many different kinds of cancer .	有很多不同的癌症 。
and the winner is ireland .	贏家是愛爾蘭 。
i want no part of any of that .	我想要沒有任何部分 。
it was april , last year .	去年去年 。
because i'm female .	因為我是女性 。
these are naive subjects .	這些都是天主的主題 。
they do not need this kind of help .	他們不需要這種幫助 。
obrigado . thank you .	謝謝 。 謝謝 。 謝謝 。
it's not even mining .	甚至沒有礦工 。
this is the hobbesian force .	這位是巴西亞軍隊 。
you know , we have to change it .	我們必須改變它 。
that's what we need to do .	這就是我們需要做的 。
we should be concerned .	我們應該擔心 。
so he was very excited .	他非常興奮 。
margarine didn't exist .	火星不存在 。
thank you very much for your attention .	非常謝謝你們的注意力 。
what in the world would i be thinking ?	我在想什麼 ?
we have downgraded this factor .	我們已經降低了這個工廠 。
and this wasn't a pretty thing .	這不是一件很棒的事 。
they are all average height .	他們都是平均高度 。
stare as long as you need to .	長久以來 。
you can see the political meetings .	你可以看到政治會議 。
and that's a little found object .	這是個小小的物體 。
this is the great fillup .	這是很棒的纖維 。
the word is " misfit . "	字詞是 「 錯誤 」 。
is this how stupid people die ?	很愚蠢的人死了嗎 ?
you have to make it from something else .	你必須從其他地方得到它 。
i began my research eagerly .	我開始我的研究 。
how much would that change the rules ?	那會改變規則嗎 ?
no hands at the wheel .	沒有手在輪子上 。
it's certainly true for me .	對我來說 , 這對我來說是真的 。
my experience is where i'm from .	我的經驗是我從來的 。
but the truth is , that never happens .	但事實是 , 從來沒有發生 。
and i finished high school .	我完成了高中畢業 。
go for it ! the worst .	去吧 ! 最糟糕 。
prism is about content .	原則是關於內容 。
ew: the full monty .	愛鸚斯坦:完整的房子 。
so could we put it back ? yes .	所以我們可以把它放回去嗎 ? 是的 。
is life that improbable ? "	生命是不可能的嗎 ? 」
