they're just closer to home .	他們只是靠近家 。
that's all i try to do .	這就是我想要做的 。
we really should clean that up .	我們真的應該乾淨 。
of course , they have a carport .	當然 , 他們有一輛車
they are human beings just like us .	他們就像我們一樣 。
and i say , " yeah . "	我說: 「 是啊 。 」
you have to fight against violence .	你必須反抗暴力 。
tim mcgraw .	mcgraw
you google , right ? of course .	你谷歌 , 對吧 ?
yet , i had never heard of him .	但我從來沒有聽過他 。
the last image we don't have .	最後一張圖像我們沒有 。
you don't see the surface structure .	你不會看到表面結構 。
it's about who you live with .	它是你住在哪裡 。
it's just been absolutely great .	這真的很棒 。
and i started a new life yet again .	我開始了一個新的生命 。
can it bring down walls ? yes .	可以帶下牆壁嗎 ?
there are many different kinds of cancer .	有很多不同的癌症 。
and the winner is ireland .	贏家是瑞士 。
i want no part of any of that .	我想要沒有一部分 。
it was april , last year .	去年 , 去年
because i'm female .	因為我是女性 。
these are naive subjects .	這些是天空的主題 。
they do not need this kind of help .	他們不需要這種幫助 。
obrigado . thank you .	謝謝 。 謝謝 。
it's not even mining .	甚至沒有礦工 。
this is the hobbesian force .	這是巴西的手臂 。
you know , we have to change it .	我們必須改變它 。
that's what we need to do .	這就是我們需要做的 。
we should be concerned .	我們應該關心 。
so he was very excited .	他非常興奮 。
margarine didn't exist .	火星並不存在 。
thank you very much for your attention .	謝謝大家
what in the world would i be thinking ?	我在想什麼呢 ?
we have downgraded this factor .	我們已經降低了這個工廠 。
and this wasn't a pretty thing .	這不是很棒的 。
they are all average height .	他們都是平均的高度
stare as long as you need to .	只要你需要的 。
you can see the political meetings .	你可以看到政治會議
and that's a little found object .	這是個小型的物體
this is the great fillup .	這是很棒的纖維 。
the word is " misfit . "	字是 「 錯 」 。
is this how stupid people die ?	這是愚蠢的人死嗎 ?
you have to make it from something else .	你必須讓它從其他的東西 。
i began my research eagerly .	我開始研究 。
how much would that change the rules ?	那會改變規則嗎 ?
no hands at the wheel .	沒有手 。
it's certainly true for me .	對我來說 , 對我來說是如此 。
my experience is where i'm from .	我的經驗是我從哪裡來的 。
but the truth is , that never happens .	但事實是 , 這永遠不會發生 。
and i finished high school .	我完成了高中 。
go for it ! the worst .	去吧 ! 最糟糕 。
prism is about content .	原則是內容 。
ew: the full monty .	艾:完整的蒙 。
so could we put it back ? yes .	我們可以把它放回嗎 ? 是的 。
is life that improbable ? "	生命是不可能的 ? 」
what do we do with these numbers ?	我們怎麼做這些數字呢 ?
second , the appliance set .	第二 , 應用程式 。
